CODE ARTICLE LOC;FAMILLE;SOUS-FAMILLE;LIBELLE ABREGE ;         LIBELLE         ;         LIBELLE         ;         LIBELLE         ;TYPE LOCATION PROF TARIF 1;TYPE LOCATION PROF TARIF 2;TYPE LOCATION PROF TARIF 3;TYPE LOCATION PROF TARIF 4;TYPE LOCATION PROF TARIF 5;TYPE LOCATION PROF TARIF 6;TYPE LOCATION PROF TARIF 7;TYPE LOCATION PROF TARIF 8;TYPE LOCATION PROF TARIF 9;TYPE LOCATION PROF TARIF 10;TYPE LOCATION PROF TARIF 11;TYPE LOCATION PROF TARIF 12;TYPE LOCATION PROF TARIF 13;TYPE LOCATION PROF TARIF 14;TYPE LOCATION ASSURES;CODE LPP 1ERE TRANCHE;CODE LPP 2EME TRANCHE DEGRESSIVE;CODE LPP 3EME TRANCHE DEGRESSIVE;CODE LPP 4EME TRANCHE DEGRESSIVE;CODE LPP 5EME TRANCHE DEGRESSIVE;PRIX LPP 1ERE TRANCHE;PRIX LPP 2EME TRANCHE DEGRESSIVE;PRIX LPP 3EME TRANCHE DEGRESSIVE;PRIX LPP 4EME TRANCHE DEGRESSIVE;PRIX LPP 5EME TRANCHE DEGRESSIVE;PRIX HT1 TRANCHE1;PRIX HT1 TRANCHE2;PRIX HT1 TRANCHE3;PRIX HT1 TRANCHE4;PRIX HT1 TRANCHE5;PRIX HT2 TRANCHE1;PRIX HT2 TRANCHE2;PRIX HT2 TRANCHE3;PRIX HT2 TRANCHE4;PRIX HT2 TRANCHE5;PRIX HT3 TRANCHE1;PRIX HT3 TRANCHE2;PRIX HT3 TRANCHE3;PRIX HT3 TRANCHE4;PRIX HT3 TRANCHE5;PRIX HT4 TRANCHE1;PRIX HT4 TRANCHE2;PRIX HT4 TRANCHE3;PRIX HT4 TRANCHE4;PRIX HT4 TRANCHE5;PRIX HT5 TRANCHE1;PRIX HT5 TRANCHE2;PRIX HT5 TRANCHE3;PRIX HT5 TRANCHE4;PRIX HT5 TRANCHE5;PRIX HT6 TRANCHE1;PRIX HT6 TRANCHE2;PRIX HT6 TRANCHE3;PRIX HT6 TRANCHE4;PRIX HT6 TRANCHE5;PRIX HT7 TRANCHE1;PRIX HT7 TRANCHE2;PRIX HT7 TRANCHE3;PRIX HT7 TRANCHE4;PRIX HT7 TRANCHE5;PRIX HT8 TRANCHE1;PRIX HT8 TRANCHE2;PRIX HT8 TRANCHE3;PRIX HT8 TRANCHE4;PRIX HT8 TRANCHE5;PRIX HT9 TRANCHE1;PRIX HT9 TRANCHE2;PRIX HT9 TRANCHE3;PRIX HT9 TRANCHE4;PRIX HT9 TRANCHE5;PRIX HT10 TRANCHE1;PRIX HT10 TRANCHE2;PRIX HT10 TRANCHE3;PRIX HT10 TRANCHE4;PRIX HT10 TRANCHE5;PRIX HT11 TRANCHE1;PRIX HT11 TRANCHE2;PRIX HT11 TRANCHE3;PRIX HT11 TRANCHE4;PRIX HT11 TRANCHE5;PRIX HT12 TRANCHE1;PRIX HT12 TRANCHE2;PRIX HT12 TRANCHE3;PRIX HT12 TRANCHE4;PRIX HT12 TRANCHE5;PRIX HT13 TRANCHE1;PRIX HT13 TRANCHE2;PRIX HT13 TRANCHE3;PRIX HT13 TRANCHE4;PRIX HT13 TRANCHE5;PRIX HT14 TRANCHE1;PRIX HT14 TRANCHE2;PRIX HT14 TRANCHE3;PRIX HT14 TRANCHE4;PRIX HT14 TRANCHE5;PRIX TTC ASSURES TRANCHE1;PRIX TTC ASSURES TRANCHE2;PRIX TTC ASSURES TRANCHE3;PRIX TTC ASSURES TRANCHE4;PRIX TTC ASSURES TRANCHE5;REMISE TARIF1;REMISE TARIF2;REMISE TARIF3;REMISE TARIF4;REMISE TARIF5;REMISE TARIF6;REMISE TARIF7;REMISE TARIF8;REMISE TARIF9;REMISE TARIF10;REMISE TARIF11;REMISE TARIF12;REMISE TARIF13;REMISE TARIF14;RISTOURNE TARIF1;RISTOURNE TARIF2;RISTOURNE TARIF3;RISTOURNE TARIF4;RISTOURNE TARIF5;RISTOURNE TARIF6;RISTOURNE TARIF7;RISTOURNE TARIF8;RISTOURNE TARIF9;RISTOURNE TARIF10;RISTOURNE TARIF11;RISTOURNE TARIF12;RISTOURNE TARIF13;RISTOURNE TARIF14;MODE TARIFS PROF (R=REMISES, P=PRIX NETS);C.A. P.V. N-2;C.A. P.V. N-1;C.A. P.V. N;C.A. P.V. M-1;C.A. P.V. M;  COMPOSANT1   ;  COMPOSANT2   ;  COMPOSANT3   ;  COMPOSANT4   ;  COMPOSANT5   ;DERNIERE VENTE;DATE DE CREATION;SOUMIS A ENTENTE O/N;TYPE D'ARTICLE SUITE 1 (L=Loc, V=Vte);ARTICLE SUITE 1;TYPE D'ARTICLE SUITE 2 (L=Loc, V=Vte);ARTICLE SUITE 2;DEPOT DE GARANTIE
ARTPROANNUEL    ;LO1    ;LA1         ;PRO            ;ARTICLE PROFESSIONEL EN  ;LOCATION A L'ANNEE       ;                         ;1AN                       ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                           ;                           ;                           ;                           ;                           ;1AN                  ;                     ;                                ;                                ;                                ;                                ;       0,00          ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00                     ;     100,00      ;      95,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00              ;       0,00              ;       0,00              ;       0,00              ;       0,00              ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;P                                        ;     300,00  ;    1200,00  ;    1040,00;       0,00  ;       0,00;TABLE          ;               ;               ;               ;               ;09/05/17      ;30/03/15        ;N                   ;L                                    ;               ;V                                    ;               ;   100,00        
ASPITRACHEAL    ;LD1    ;LDD         ;ASPIRATEUR TRAC;ASPIRATEUR TRACHEAL      ;                         ;                         ;S465                      ;S465                      ;S452                      ;                          ;                          ;                          ;                          ;                          ;                          ;                           ;                           ;                           ;                           ;                           ;SM65                 ;1149514              ;1106485                         ;                                ;                                ;                                ;      20,15          ;      15,27                     ;       0,00                     ;       0,00                     ;       0,00                     ;      15,16      ;      11,49      ;       0,00      ;       0,00      ;       0,00      ;      16,85      ;      12,77      ;       0,00      ;       0,00      ;       0,00      ;      16,85      ;      12,77      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;      30,00              ;      29,00              ;       0,00              ;       0,00              ;       0,00              ;  10,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00         ;  20,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;R                                        ;    2923,98  ;    2538,51  ;    2113,43;       0,00  ;       0,00;ASPITRACHEAL   ;               ;               ;               ;               ;06/06/17      ;01/11/06        ;N                   ;V                                    ;LIV 1          ;V                                    ;               ;     0,00        
F1              ;LO3    ;LOX         ;OXYGENOTHERAPIE;OXYGENOTHERAPIE          ;POSTE FIXE               ;                         ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                           ;                           ;                           ;                           ;                           ;S1                   ;1136581              ;                                ;                                ;                                ;                                ;      47,40          ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;      47,40              ;       0,00              ;       0,00              ;       0,00              ;       0,00              ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;P                                        ;       0,00  ;       0,00  ;       0,00;       0,00  ;       0,00;               ;               ;               ;               ;               ;25/07/14      ;30/04/10        ;O                   ;L                                    ;               ;V                                    ;               ;     0,00        
F10             ;LO3    ;LA3         ;VENTIL TRACHEO ;VENTILATION TRACHEO      ;+ O2 POSTE FIXE          ;                         ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                           ;                           ;                           ;                           ;                           ;S1                   ;1116880              ;                                ;                                ;                                ;                                ;     152,51          ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;     152,51              ;       0,00              ;       0,00              ;       0,00              ;       0,00              ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;P                                        ;       0,00  ;       0,00  ;    1792,48;       0,00  ;       0,00;               ;               ;               ;               ;               ;06/06/17      ;30/04/10        ;O                   ;L                                    ;               ;V                                    ;               ;     0,00        
F11             ;LO3    ;LA3         ;VENTIL TRA O2 L;VENTILATION TRACHE       ;+ O2 LIQUIDE             ;                         ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                           ;                           ;                           ;                           ;                           ;S1                   ;1146444              ;                                ;                                ;                                ;                                ;     222,08          ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;     222,08              ;       0,00              ;       0,00              ;       0,00              ;       0,00              ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;R                                        ;       0,00  ;       0,00  ;       0,00;       0,00  ;       0,00;               ;               ;               ;               ;               ;30/04/10      ;30/04/10        ;O                   ;L                                    ;               ;V                                    ;               ;     0,00        
F16             ;LO1    ;LOR         ;VENTIL + OXYGEN;VENTIL + OXYGENE         ;                         ;                         ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                           ;                           ;                           ;                           ;                           ;S1                   ;1107579              ;                                ;                                ;                                ;                                ;      84,46          ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;      84,46              ;       0,00              ;       0,00              ;       0,00              ;       0,00              ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;P                                        ;       0,00  ;       0,00  ;       0,00;       0,00  ;       0,00;               ;               ;               ;               ;               ;30/04/10      ;30/04/10        ;O                   ;L                                    ;               ;V                                    ;               ;     0,00        
F17             ;LO3    ;LA3         ;VENTIL +O2 LIQU;VENTILATION + O2 LIQUIDE ;                         ;                         ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                           ;                           ;                           ;                           ;                           ;S1                   ;1162437              ;                                ;                                ;                                ;                                ;     148,83          ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;     148,83              ;       0,00              ;       0,00              ;       0,00              ;       0,00              ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;P                                        ;       0,00  ;       0,00  ;       0,00;       0,00  ;       0,00;               ;               ;               ;               ;               ;30/04/10      ;30/04/10        ;O                   ;L                                    ;               ;V                                    ;               ;     0,00        
F19             ;VE1    ;VA1         ;O2 VENTE EMBOUT;O2 VENTE EMBOUT BUCCAL   ;                         ;                         ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                           ;                           ;                           ;                           ;                           ;S1                   ;1188885              ;                                ;                                ;                                ;                                ;      55,57          ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;      55,57              ;       0,00              ;       0,00              ;       0,00              ;       0,00              ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;P                                        ;       0,00  ;       0,00  ;       0,00;       0,00  ;       0,00;               ;               ;               ;               ;               ;30/04/10      ;30/04/10        ;O                   ;L                                    ;               ;V                                    ;               ;     0,00        
F1B             ;LO3    ;LA3         ;02 POSTE FIXE  ;02 POSTE FIXE            ;                         ;                         ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                           ;                           ;                           ;                           ;                           ;S1                   ;1136581              ;                                ;                                ;                                ;                                ;      47,40          ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;      47,40              ;       0,00              ;       0,00              ;       0,00              ;       0,00              ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;P                                        ;       0,00  ;       0,00  ;       0,00;       0,00  ;       0,00;               ;               ;               ;               ;               ;30/04/10      ;30/04/10        ;O                   ;L                                    ;               ;V                                    ;               ;     0,00        
F2              ;LO3    ;LOX         ;O2 DEAMBULATION;OXYGENOTHERAPIE DE DEAMBU;LATION                   ;                         ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                           ;                           ;                           ;                           ;                           ;S1                   ;1130220              ;                                ;                                ;                                ;                                ;     106,49          ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;     106,49              ;       0,00              ;       0,00              ;       0,00              ;       0,00              ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;P                                        ;       0,00  ;       0,00  ;       0,00;       0,00  ;       0,00;               ;               ;               ;               ;               ;30/04/10      ;30/04/10        ;O                   ;L                                    ;               ;V                                    ;               ;     0,00        
